Criterion,MaxDepth,AvgAccuracy,AvgNodeCount,AvgTreeDepth
IG,0,92.9032,23.00,3.80
IG,1,84.5161,5.00,1.00
IG,2,95.8065,13.00,2.00
IG,3,93.3871,19.20,3.00
IG,4,94.8387,24.80,3.85
IG,5,92.5806,22.80,3.75
IG,6,94.8387,24.60,3.95
