Criterion,MaxDepth,AvgAccuracy,AvgNodeCount,AvgTreeDepth
IGR,0,81.6613,29040.65,13.00
IGR,1,77.7476,5.00,1.00
IGR,2,78.4823,20.25,2.00
IGR,3,80.8038,92.75,3.00
IGR,4,83.1199,295.00,4.00
IGR,5,83.1898,843.25,5.00
IGR,6,83.2635,1944.30,6.00
