Criterion,MaxDepth,AvgAccuracy,AvgNodeCount,AvgTreeDepth
NWIG,0,81.9807,51779.25,13.00
NWIG,1,76.0088,8.00,1.00
NWIG,2,82.0643,36.00,2.00
NWIG,3,82.3376,158.85,3.00
NWIG,4,82.6800,582.90,4.00
NWIG,5,83.1905,1683.40,5.00
NWIG,6,83.2497,3950.25,6.00
