Criterion,MaxDepth,AvgAccuracy,AvgNodeCount,AvgTreeDepth
IG,0,81.7764,37366.40,13.00
IG,1,75.7424,8.00,1.00
IG,2,81.8970,89.45,2.00
IG,3,82.2877,528.50,3.00
IG,4,82.6524,1602.45,4.00
IG,5,82.7315,3503.35,5.00
IG,6,82.5902,6163.90,6.00
