Criterion,MaxDepth,AvgAccuracy,AvgNodeCount,AvgTreeDepth
IGR,0,94.8387,24.60,3.85
IGR,1,83.7097,5.00,1.00
IGR,2,95.1613,13.00,2.00
IGR,3,94.1935,19.20,3.00
IGR,4,93.3871,24.00,3.95
IGR,5,93.0645,23.00,3.85
IGR,6,93.0645,24.00,3.95
